"Well","Sample","Weight","Replicate","Time","Hour","PCheck","Plate","fileName","values","MatchValue","CtrlVal","ABStrt_ABSctr","AbsFreshWeight","Genotype","Range","Site"
"D04","W0082",0.0147,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0513,"W0082.0hr",0.0434,0.0079,0.537414965986394,"SAN28-02","Native","SAN"
"D05","W0082",0.0147,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0512,"W0082.0hr",0.0434,0.0078,0.530612244897959,"SAN28-02","Native","SAN"
"D06","W0082",0.0147,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0522,"W0082.0hr",0.0434,0.0088,0.598639455782313,"SAN28-02","Native","SAN"
"D07","W0426",0.0241,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0516,"W0426.0hr",0.047,0.0046,0.190871369294606,"DEB32","Native","DEB"
"D08","W0426",0.0241,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.052,"W0426.0hr",0.047,0.005,0.20746887966805,"DEB32","Native","DEB"
"D09","W0426",0.0241,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0519,"W0426.0hr",0.047,0.0049,0.203319502074689,"DEB32","Native","DEB"
"D10","W0083",0.0523,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.086,"W0083.0hr",0.0461,0.0399,0.762906309751434,"MUSs2-04","Native","MUS"
"D11","W0083",0.0523,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0815,"W0083.0hr",0.0461,0.0354,0.676864244741874,"MUSs2-04","Native","MUS"
"D12","W0083",0.0523,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0826,"W0083.0hr",0.0461,0.0365,0.697896749521989,"MUSs2-04","Native","MUS"
"E01","W0427",0.0249,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.082,"WO427.0hr",0.0445,0.0375,1.50602409638554,"W65323","Native","Fra"
"E02","W0427",0.0249,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0838,"WO427.0hr",0.0445,0.0393,1.57831325301205,"W65323","Native","Fra"
"E03","W0427",0.0249,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0828,"WO427.0hr",0.0445,0.0383,1.53815261044177,"W65323","Native","Fra"
"E04","W0084",0.0232,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0808,"W0084.0hr",0.0444,0.0364,1.56896551724138,"CDCc2-06-01","Native","CDC"
"E05","W0084",0.0232,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0804,"W0084.0hr",0.0444,0.036,1.55172413793103,"CDCc2-06-01","Native","CDC"
"E06","W0084",0.0232,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0816,"W0084.0hr",0.0444,0.0372,1.60344827586207,"CDCc2-06-01","Native","CDC"
"E07","W0085",0.0428,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0675,"W0085.0hr",0.0443,0.0232,0.542056074766355,"HIG12-03","Native","HIG"
"E08","W0085",0.0428,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0698,"W0085.0hr",0.0443,0.0255,0.595794392523365,"HIG12-03","Native","HIG"
"E09","W0085",0.0428,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0692,"W0085.0hr",0.0443,0.0249,0.581775700934579,"HIG12-03","Native","HIG"
"E10","W0475",0.0176,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0823,"WO475.0hr",0.0461,0.0362,2.05681818181818,"W65326","Native","Fra2"
"E11","W0475",0.0176,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0832,"WO475.0hr",0.0461,0.0371,2.10795454545454,"W65326","Native","Fra2"
"E12","W0475",0.0176,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0799,"WO475.0hr",0.0461,0.0338,1.92045454545455,"W65326","Native","Fra2"
"F01","W0476",0.0163,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0708,"WO476.0hr",0.0451,0.0257,1.57668711656442,"DEB32-02","Native","DEB"
"F02","W0476",0.0163,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0684,"WO476.0hr",0.0451,0.0233,1.42944785276074,"DEB32-02","Native","DEB"
"F03","W0476",0.0163,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0726,"WO476.0hr",0.0451,0.0275,1.68711656441718,"DEB32-02","Native","DEB"
"F04","W0113",0.0175,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0684,"W0113.0hr",0.0455,0.0229,1.30857142857143,"SAN31-02","Native","SAN"
"F05","W0113",0.0175,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0671,"W0113.0hr",0.0455,0.0216,1.23428571428571,"SAN31-02","Native","SAN"
"F06","W0113",0.0175,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0719,"W0113.0hr",0.0455,0.0264,1.50857142857143,"SAN31-02","Native","SAN"
"F07","W0114",0.0239,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0507,"W0114.0hr",0.0434,0.0073,0.305439330543933,"W65327","Native","Fra_cor"
"F08","W0114",0.0239,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0514,"W0114.0hr",0.0434,0.008,0.334728033472803,"W65327","Native","Fra_cor"
"F09","W0114",0.0239,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0518,"W0114.0hr",0.0434,0.0084,0.351464435146443,"W65327","Native","Fra_cor"
"F10","W0478",0.0012,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0689,"W0478.0hr",0.0437,0.0252,21,"SAN31-01","Native","SAN"
"F11","W0478",0.0012,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0652,"W0478.0hr",0.0437,0.0215,17.9166666666667,"SAN31-01","Native","SAN"
"F12","W0478",0.0012,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0654,"W0478.0hr",0.0437,0.0217,18.0833333333333,"SAN31-01","Native","SAN"
"G01","W0115",0.0223,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0512,"W0115.0hr",0.0612,-0.01,-0.448430493273542,"MUSs2-09","Native","MUS"
"G02","W0115",0.0223,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0515,"W0115.0hr",0.0612,-0.0097,-0.434977578475336,"MUSs2-09","Native","MUS"
"G03","W0115",0.0223,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0515,"W0115.0hr",0.0612,-0.0097,-0.434977578475336,"MUSs2-09","Native","MUS"
"G04","W0479",0.015,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0612,"WO479.0hr",0.0446,0.0166,1.10666666666667,"CDCc2-09","Native","CDC"
"G05","W0479",0.015,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0611,"WO479.0hr",0.0446,0.0165,1.1,"CDCc2-09","Native","CDC"
"G06","W0479",0.015,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.066,"WO479.0hr",0.0446,0.0214,1.42666666666667,"CDCc2-09","Native","CDC"
"G07","W0480",0.0115,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.052,"W0480.0hr",0.0466,0.0054,0.469565217391304,"HIG15-02","Native","HIG"
"G08","W0480",0.0115,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0531,"W0480.0hr",0.0466,0.0065,0.565217391304348,"HIG15-02","Native","HIG"
"G09","W0480",0.0115,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0527,"W0480.0hr",0.0466,0.00609999999999999,0.530434782608695,"HIG15-02","Native","HIG"
"G10","W0116",0.0085,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0516,"W0116.0hr",0.0447,0.0069,0.811764705882353,"NARc3-08","Native","NAR"
"G11","W0116",0.0085,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0514,"W0116.0hr",0.0447,0.0067,0.788235294117648,"NARc3-08","Native","NAR"
"G12","W0116",0.0085,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0521,"W0116.0hr",0.0447,0.0074,0.870588235294118,"NARc3-08","Native","NAR"
"H01","W0117",0.0109,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.051,"W0117.0hr",0.0445,0.0065,0.596330275229358,"HIG16-01","Native","HIG"
"H02","W0117",0.0109,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0437,"W0117.0hr",0.0445,-0.000799999999999995,-0.0733944954128436,"HIG16-01","Native","HIG"
"H03","W0117",0.0109,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0515,"W0117.0hr",0.0445,0.007,0.642201834862385,"HIG16-01","Native","HIG"
"H04","W0118",0.0247,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0511,"W0118.0hr",0.0444,0.0067,0.271255060728745,"CDCc2-13","Native","CDC"
"H05","W0118",0.0247,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0514,"W0118.0hr",0.0444,0.007,0.283400809716599,"CDCc2-13","Native","CDC"
"H06","W0118",0.0247,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0517,"W0118.0hr",0.0444,0.0073,0.295546558704453,"CDCc2-13","Native","CDC"
"H07","W0119",0.0266,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0589,"W0119.0hr",0.045,0.0139,0.522556390977444,"PI478440","Native","Bol"
"H08","W0119",0.0266,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0595,"W0119.0hr",0.045,0.0145,0.545112781954887,"PI478440","Native","Bol"
"H09","W0119",0.0266,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0599,"W0119.0hr",0.045,0.0149,0.56015037593985,"PI478440","Native","Bol"
"H10","W0120",0.0309,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0782,"W0120.0hr",0.0456,0.0326,1.05501618122977,"MUSs2-01","Native","MUS"
"H11","W0120",0.0309,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.078,"W0120.0hr",0.0456,0.0324,1.04854368932039,"MUSs2-01","Native","MUS"
"H12","W0120",0.0309,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0768,"W0120.0hr",0.0456,0.0312,1.00970873786408,"MUSs2-01","Native","MUS"
"A01","W0513",0.0055,1,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0824,"W0513.0hr",0.0451,0.0373,6.78181818181818,"CDCc2-06-02","Native","CDC"
"A02","W0513",0.0055,2,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0725,"W0513.0hr",0.0451,0.0274,4.98181818181818,"CDCc2-06-02","Native","CDC"
"A03","W0513",0.0055,3,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0748,"W0513.0hr",0.0451,0.0297,5.4,"CDCc2-06-02","Native","CDC"
"A04","W0121",0.0562,1,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0754,"W0121.0hr",0.0453,0.0301,0.5355871886121,"DEB28-02","Native","DEB"
"A05","W0121",0.0562,2,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0752,"W0121.0hr",0.0453,0.0299,0.53202846975089,"DEB28-02","Native","DEB"
"A06","W0121",0.0562,3,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0768,"W0121.0hr",0.0453,0.0315,0.560498220640569,"DEB28-02","Native","DEB"
"A07","W0122",0.0324,1,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0822,"W0122.0hr",0.0457,0.0365,1.12654320987654,"LIS20","Native","LIS"
"A08","W0122",0.0324,2,0,"0hr","Plate2.csv","Plate2","PPO_0hr_plate2_7-21-17",0.0818,"W0122.0hr",0.0457,0.0361,1.1141975308642,"LIS20","Native","LIS"
