"Well","Sample","Weight","Replicate","Time","Hour","PCheck","Plate","fileName","values","MatchValue","CtrlVal","ABStrt_ABSctr","AbsFreshWeight","Genotype","Range","Site"
"E01","W0427",0.0249,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0942,"WO427.0hr",0.0447,0.0495,1.98795180722892,"W65323","Native","Fra"
"E02","W0427",0.0249,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0871,"WO427.0hr",0.0447,0.0424,1.70281124497992,"W65323","Native","Fra"
"E03","W0427",0.0249,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0902,"WO427.0hr",0.0447,0.0455,1.82730923694779,"W65323","Native","Fra"
"E04","W0084",0.0232,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0925,"W0084.0hr",0.041,0.0515,2.2198275862069,"CDCc2-06-01","Native","CDC"
"E05","W0084",0.0232,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0928,"W0084.0hr",0.041,0.0518,2.23275862068965,"CDCc2-06-01","Native","CDC"
"E06","W0084",0.0232,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.1014,"W0084.0hr",0.041,0.0604,2.60344827586207,"CDCc2-06-01","Native","CDC"
"E07","W0085",0.0428,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0566,"W0085.0hr",0.0411,0.0155,0.36214953271028,"HIG12-03","Native","HIG"
"E08","W0085",0.0428,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0541,"W0085.0hr",0.0411,0.013,0.303738317757009,"HIG12-03","Native","HIG"
"E09","W0085",0.0428,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.057,"W0085.0hr",0.0411,0.0159,0.371495327102804,"HIG12-03","Native","HIG"
"E10","W0475",0.0176,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0718,"WO475.0hr",0.0419,0.0299,1.69886363636364,"W65326","Native","Fra2"
"E11","W0475",0.0176,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0736,"WO475.0hr",0.0419,0.0317,1.80113636363636,"W65326","Native","Fra2"
