Plate_number,Pair_number,Caterpillar,Native_accession,Invasive_accession,Replicate,Before_wtmg_Native,waterloss_correction_Before_Native,After_wtmg_Native,Diff_wtmg_Native,Prop_wtmg_Native,Before_wtmg_Invasive,waterloss_correction_before_Invasive,After_wtmg_Invasive,Diff_wtmg_Invasive,prop_wtmg_Invasive,Setup_date,WinnerTest
118,12,velvetbean,W65376,W65341,1,32.9,16.60154243,11.13,21.77,0.6617021277,40.4,20.38608857,12.79,27.61,0.6834158416,06-16-2022,0.0217137139
119,12,velvetbean,W65376,W65341,2,20.9,10.54626859,1.46,19.44,0.9301435407,52.7,26.59274425,26.4,26.3,0.4990512334,06-16-2022,-0.4310923073
120,12,velvetbean,W65376,W65341,3,9.8,4.945140298,1.95,7.85,0.8010204082,26.3,13.27114182,18.73,7.57,0.2878326996,06-16-2022,-0.5131877086
173,12,soybean,W65376,W65341,4,34.9,17.61075473,11.13,23.77,0.6810888252,23.2,11.70686275,1.36,21.84,0.9413793103,06-16-2022,0.2602904851
174,12,soybean,W65376,W65341,1,32.8,16.55108181,6.42,26.38,0.8042682927,28.3,14.28035412,3.56,24.74,0.874204947,06-16-2022,0.0699366543
175,12,soybean,W65376,W65341,2,41.6,20.99161596,4.8,36.8,0.8846153846,35.6,17.96397904,1.54,34.06,0.956741573,06-16-2022,0.0721261884
176,12,soybean,W65376,W65341,3,36,18.1658215,4.01,31.99,0.8886111111,33.6,16.95476673,1.48,32.12,0.955952381,06-16-2022,0.0673412699
177,12,soybean,W65376,W65341,5,24,12.11054767,2.84,21.16,0.8816666667,38.3,19.32641565,1.39,36.91,0.9637075718,06-16-2022,0.0820409051
178,12,soybean,W65376,W65341,6,24.4,12.31239013,0.99,23.41,0.9594262295,31.1,15.69325135,3.6,27.5,0.884244373,06-16-2022,-0.0751818565
179,12,soybean,W65376,W65341,7,18.6,9.385674442,2.94,15.66,0.8419354839,25,12.61515382,2.46,22.54,0.9016,06-16-2022,0.0596645161
180,12,soybean,W65376,W65341,8,31.4,15.8446332,17.68,13.72,0.4369426752,46.8,23.61556795,2.47,44.33,0.9472222222,06-16-2022,0.510279547
33,9,velvetbean,W65377,PI368947,4,26.7,13.47298428,6.99,19.71,0.7382022472,24.6,12.41331136,11.57,13.03,0.5296747967,06-15-2022,-0.2085274505
34,9,velvetbean,W65377,PI368947,3,20.3,10.2435049,2.06,18.24,0.8985221675,16.4,8.275540906,1.71,14.69,0.8957317073,06-15-2022,-0.00279046020000007
35,9,velvetbean,W65377,PI368947,1,13.8,6.963564909,1.4,12.4,0.8985507246,15.7,7.922316599,0.51,15.19,0.9675159236,06-15-2022,0.0689651990000001
36,9,velvetbean,W65377,PI368947,2,20,10.09212306,2.74,17.26,0.863,24.9,12.56469321,6.3,18.6,0.7469879518,06-15-2022,-0.1160120482
101,9,soybean,W65377,PI368947,2,33.5,16.90430612,7.66,25.84,0.7713432836,28.3,14.28035412,2.68,25.62,0.9053003534,06-15-2022,0.1339570698
102,9,soybean,W65377,PI368947,4,38.4,19.37687627,6.67,31.73,0.8263020833,28.8,14.5326572,2.38,26.42,0.9173611111,06-15-2022,0.0910590278
103,9,soybean,W65377,PI368947,1,36.9,18.61996704,3.4,33.5,0.9078590786,36.3,18.31720335,5.3,31,0.8539944904,06-15-2022,-0.0538645882000001
104,9,soybean,W65377,PI368947,3,22.6,11.40409905,3.28,19.32,0.8548672566,34.7,17.5098335,1.97,32.73,0.9432276657,06-15-2022,0.0883604091000001
105,9,soybean,W65377,PI368947,5,23.4,11.80778398,3.85,19.55,0.8354700855,20.6,10.39488675,0.78,19.82,0.9621359223,06-15-2022,0.1266658368
106,9,soybean,W65377,PI368947,6,15.7,7.922316599,1.77,13.93,0.8872611465,24.5,12.36285074,6.77,17.73,0.7236734694,06-15-2022,-0.1635876771
107,9,soybean,W65377,PI368947,7,15.6,7.871855984,1.94,13.66,0.8756410256,14.4,7.266328601,1.93,12.47,0.8659722222,06-15-2022,-0.00966880339999998
108,9,soybean,W65377,PI368947,8,22.8,11.50502028,2.39,20.41,0.8951754386,23.5,11.85824459,1.36,22.14,0.9421276596,06-15-2022,0.046952221
29,8,velvetbean,W65378,W65518,2,21,10.59672921,2.93,18.07,0.8604761905,26.4,13.32160243,5.17,21.23,0.8041666667,06-15-2022,-0.0563095238
30,8,velvetbean,W65378,W65518,4,7.8,3.935927992,0.69,7.11,0.9115384615,23.6,11.90870521,4.45,19.15,0.811440678,06-15-2022,-0.1000977835
31,8,velvetbean,W65378,W65518,1,9.6,4.844219067,2.52,7.08,0.7375,11.8,5.954352603,1.58,10.22,0.8661016949,06-15-2022,0.1286016949
32,8,velvetbean,W65378,W65518,3,11.1,5.601128296,1.89,9.21,0.8297297297,23.4,11.80778398,3.82,19.58,0.8367521368,06-15-2022,0.00702240710000002
93,8,soybean,W65378,W63318,3,30.9,15.59233012,1.81,29.09,0.9414239482,25.2,12.71607505,5.85,19.35,0.7678571429,06-15-2022,-0.1735668053
94,8,soybean,W65378,W63318,1,14.8,7.468171062,2.57,12.23,0.8263513514,16.1,8.12415906,1.19,14.91,0.9260869565,06-15-2022,0.0997356050999999
95,8,soybean,W65378,W63318,4,31,15.64279074,5.3,25.7,0.8290322581,29.2,14.73449966,3.11,26.09,0.8934931507,06-15-2022,0.0644608926
96,8,soybean,W65378,W63318,2,34.1,17.20706981,5.92,28.18,0.8263929619,20.9,10.54626859,3.26,17.64,0.8440191388,06-15-2022,0.0176261769
97,8,soybean,W65378,W63318,5,34.4,17.35845166,5.75,28.65,0.8328488372,21.2,10.69765044,3.92,17.28,0.8150943396,06-15-2022,-0.0177544976
98,8,soybean,W65378,W63318,6,29.6,14.93634212,5.52,24.08,0.8135135135,32.8,16.55108181,2.99,29.81,0.9088414634,06-15-2022,0.0953279499
99,8,soybean,W65378,W63318,7,28.3,14.28035412,3.82,24.48,0.8650176678,22.7,11.45455967,2.92,19.78,0.8713656388,06-15-2022,0.00634797099999995
100,8,soybean,W65378,W63318,8,40.8,20.58793104,6.81,33.99,0.8330882353,23.9,12.06008705,3.4,20.5,0.8577405858,06-15-2022,0.0246523505
133,16,velvetbean,W65382,W65535,4,32.9,16.60154243,5.99,26.91,0.8179331307,34.2,17.25753043,1.86,32.34,0.9456140351,06-16-2022,0.1276809044
134,16,velvetbean,W65382,W65535,2,18.3,9.234292597,0,18.3,1,33.8,17.05568797,10.38,23.42,0.6928994083,06-16-2022,-0.3071005917
135,16,velvetbean,W65382,W65535,3,29.2,14.73449966,0,29.2,1,49.9,25.17984703,0,49.9,1,06-16-2022,0
136,16,velvetbean,W65382,W65535,1,15.6,7.871855984,10.9,4.7,0.3012820513,16.9,8.527843983,0.39,16.51,0.9769230769,06-16-2022,0.6756410256
149,16,soybean,W65382,W65535,3,18.4,9.284753212,0.63,17.77,0.9657608696,19.9,10.04166244,1.19,18.71,0.940201005,06-16-2022,-0.0255598645999999
150,16,soybean,W65382,W65535,4,24.1,12.16100828,0.47,23.63,0.9804979253,23.9,12.06008705,2.41,21.49,0.8991631799,06-16-2022,-0.0813347454
151,16,soybean,W65382,W65535,1,21.1,10.64718982,1.28,19.82,0.9393364929,23.7,11.95916582,1.38,22.32,0.9417721519,06-16-2022,0.00243565899999998
152,16,soybean,W65382,W65535,2,12.9,6.509419371,0,12.9,1,11.5,5.802970757,0,11.5,1,06-16-2022,0
153,16,soybean,W65382,W65535,5,23.6,11.90870521,0,23.6,1,16.4,8.275540906,0,16.4,1,06-16-2022,0
154,16,soybean,W65382,W65535,6,28.2,14.22989351,0.59,27.61,0.9790780142,23.2,11.70686275,1.52,21.68,0.9344827586,06-16-2022,-0.0445952556
155,16,soybean,W65382,W65535,7,11.5,5.802970757,0.31,11.19,0.9730434783,41.6,20.99161596,4.19,37.41,0.8992788462,06-16-2022,-0.0737646321000001
156,16,soybean,W65382,W65535,8,11.9,6.004813219,0,11.9,1,27.8,14.02805105,1.26,26.54,0.954676259,06-16-2022,-0.045323741
1,1,velvetbean,W65386,W65517,3,16.1,8.12415906,2.18,13.92,0.8645962733,13.6,6.862643678,1.29,12.31,0.9051470588,06-15-2022,0.0405507855
2,1,velvetbean,W65386,W65517,1,57.9,29.21669625,6.49,51.41,0.88791019,40.2,20.28516734,0,40.2,1,06-15-2022,0.11208981
3,1,velvetbean,W65386,W65517,2,22.4,11.30317782,2.81,19.59,0.8745535714,38.6,19.4777975,9.71,28.89,0.7484455959,06-15-2022,-0.1261079755
4,1,velvetbean,W65386,W65517,4,23.6,11.90870521,0.91,22.69,0.961440678,16.6,8.376462137,0.43,16.17,0.9740963855,06-15-2022,0.0126557075
53,1,soybean,W65386,W65517,1,18.7,9.436135058,0,18.7,1,29.9,15.08772397,0,29.9,1,06-15-2022,0
54,1,soybean,W65386,W65517,2,9.9,4.995600913,3.23,6.67,0.6737373737,13.6,6.862643678,1.95,11.65,0.8566176471,06-15-2022,0.1828802734
55,1,soybean,W65386,W65517,3,20.3,10.2435049,0.51,19.79,0.9748768473,18.5,9.335213827,1.35,17.15,0.927027027,06-15-2022,-0.0478498203000001
56,1,soybean,W65386,W65517,4,32.8,16.55108181,0.44,32.36,0.9865853659,51.9,26.18905933,3.84,48.06,0.9260115607,06-15-2022,-0.0605738052
57,1,soybean,W65386,W65517,5,17.5,8.830607674,0.35,17.15,0.98,21.6,10.8994929,0.65,20.95,0.9699074074,06-15-2022,-0.0100925926
58,1,soybean,W65386,W65517,6,38.6,19.4777975,6.63,31.97,0.828238342,27,13.62436613,3.11,23.89,0.8848148148,06-15-2022,0.0565764728
59,1,soybean,W65386,W65517,7,43.5,21.95036765,6.85,36.65,0.8425287356,21.1,10.64718982,0.57,20.53,0.972985782,06-15-2022,0.1304570464
60,1,soybean,W65386,W65517,8,13.4,6.761722448,0.9,12.5,0.9328358209,19.4,9.789359365,3.07,16.33,0.8417525773,06-15-2022,-0.0910832436
121,13,velvetbean,W65396,W65339,1,43.7,22.05128888,14.54,29.16,0.6672768879,68.4,34.51506085,18.39,50.01,0.7311403509,06-16-2022,0.063863463
122,13,velvetbean,W65396,W65339,4,28.3,14.28035412,14.99,13.31,0.4703180212,39.6,19.98240365,9.16,30.44,0.7686868687,06-16-2022,0.2983688475
