Well,Sample,Time,Weight,Replicate,Hour,PCheck,Plate,fileName,Absorbance,Range,Genotype,Site,StdCurveCalc,DilutionCalc_x10,Protein
E05,W0084,0,0.0232,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1537,Native,CDCc2-06-01,CDC,86.60923,866.0923,37331.56466
E06,W0084,0,0.0232,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1513,Native,CDCc2-06-01,CDC,84.31027,843.1027,36340.63362
E07,W0085,0,0.0428,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.143,Native,HIG12-03,HIG,76.3597,763.597,17841.0514
E08,W0085,0,0.0428,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1442,Native,HIG12-03,HIG,77.50918,775.0918,18109.6215
E09,W0085,0,0.0428,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1411,Native,HIG12-03,HIG,74.53969,745.3969,17415.81542
E10,W0475,0,0.0176,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1546,Native,W65326,Fra2,87.47134,874.7134,49699.625
E11,W0475,0,0.0176,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1555,Native,W65326,Fra2,88.33345,883.3345,50189.46023
E12,W0475,0,0.0176,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1572,Native,W65326,Fra2,89.96188,899.6188,51114.70455
F01,W0476,0,0.0163,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1547,Native,DEB32-02,DEB,87.56713,875.6713,53722.16564
F02,W0476,0,0.0163,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1493,Native,DEB32-02,DEB,82.39447,823.9447,50548.7546
F03,W0476,0,0.0163,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1479,Native,DEB32-02,DEB,81.05341,810.5341,49726.0184
F04,W0113,0,0.0175,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1593,Native,SAN31-02,SAN,91.97347,919.7347,52556.26857
F05,W0113,0,0.0175,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1567,Native,SAN31-02,SAN,89.48293,894.8293,51133.10286
F06,W0113,0,0.0175,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1571,Native,SAN31-02,SAN,89.86609,898.6609,51352.05143
F07,W0114,0,0.0239,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.176,Native,W65327,Fra_cor,107.9704,1079.704,45175.89958
F08,W0114,0,0.0239,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1605,Native,W65327,Fra_cor,93.12295,931.2295,38963.57741
F09,W0114,0,0.0239,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1581,Native,W65327,Fra_cor,90.82399,908.2399,38001.66946
F10,W0478,0,0.0012,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2036,Native,SAN31-01,SAN,134.40844,1344.0844,1120070.333
F11,W0478,0,0.0012,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2039,Native,SAN31-01,SAN,134.69581,1346.9581,1122465.083
F12,W0478,0,0.0012,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1983,Native,SAN31-01,SAN,129.33157,1293.3157,1077763.083
G01,W0115,0,0.0223,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2338,Native,MUSs2-09,MUS,163.33702,1633.3702,73245.30045
G02,W0115,0,0.0223,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2271,Native,MUSs2-09,MUS,156.91909,1569.1909,70367.30493
G03,W0115,0,0.0223,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2161,Native,MUSs2-09,MUS,146.38219,1463.8219,65642.23767
G04,W0479,0,0.015,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1485,Native,CDCc2-09,CDC,81.62815,816.2815,54418.76667
G05,W0479,0,0.015,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1485,Native,CDCc2-09,CDC,81.62815,816.2815,54418.76667
G06,W0479,0,0.015,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1525,Native,CDCc2-09,CDC,85.45975,854.5975,56973.16667
G07,W0480,0,0.0115,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2091,Native,HIG15-02,HIG,139.67689,1396.7689,121458.1652
G08,W0480,0,0.0115,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1993,Native,HIG15-02,HIG,130.28947,1302.8947,113295.1913
G09,W0480,0,0.0115,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1968,Native,HIG15-02,HIG,127.89472,1278.9472,111212.8
G10,W0116,0,0.0085,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1738,Native,NARc3-08,NAR,105.86302,1058.6302,124544.7294
G11,W0116,0,0.0085,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1784,Native,NARc3-08,NAR,110.26936,1102.6936,129728.6588
